Month,Time,max_speed
March,00:00:00,0
March,03:00:00,0
March,06:00:00,0
March,09:00:00,0
March,12:00:00,0
March,15:00:00,0
March,18:00:00,0
March,21:00:00,0
April,00:00:00,0
April,03:00:00,0
April,06:00:00,0
April,09:00:00,0
April,12:00:00,0
April,15:00:00,0
April,18:00:00,0
April,21:00:00,0
May,00:00:00,0
May,03:00:00,0
May,06:00:00,0
May,09:00:00,0
May,12:00:00,0
May,15:00:00,1
May,18:00:00,0
May,21:00:00,0
June,00:00:00,1
June,03:00:00,0
June,06:00:00,0
June,09:00:00,0
June,12:00:00,0
June,15:00:00,0
June,18:00:00,0
June,21:00:00,0
July,00:00:00,1
July,03:00:00,0
July,06:00:00,1
July,09:00:00,0
July,12:00:00,0
July,15:00:00,0
July,18:00:00,1
July,21:00:00,0
August,00:00:00,0
August,03:00:00,3
August,06:00:00,0
August,09:00:00,0
August,12:00:00,0
August,15:00:00,0
August,18:00:00,0
August,21:00:00,0
September,00:00:00,1
September,03:00:00,1
September,06:00:00,0
September,09:00:00,0
September,12:00:00,0
September,15:00:00,0
September,18:00:00,0
September,21:00:00,0
